,City,Cloudiness,Country,Humidity,Lat,Max Temp,Wind Speed
0,Busselton,20,AU,25,-33.64,75.0,11.21
1,Provideniya,0,RU,91,64.42,26.09,13.33
2,Mahebourg,75,MU,79,-20.41,84.2,11.41
3,Tasiilaq,88,GL,100,65.61,19.61,22.5
4,Waingapu,68,ID,98,-9.65,80.59,2.26
5,Sibolga,20,ID,90,1.74,79.46,1.14
6,Cape Town,75,ZA,82,-33.93,69.01,4.7
7,Rikitea,92,PF,100,-23.12,77.89,13.44
8,Kalmar,44,SE,95,56.66,34.0,9.17
9,Fortuna,20,ES,93,38.18,55.99,5.82
10,Geraldton,75,CA,71,49.72,3.2,2.24
11,Butler,40,US,54,41.43,30.2,3.36
12,Harrison,90,US,74,39.26,39.2,4.7
13,Chuy,0,UY,72,-33.69,70.82,16.13
14,Lafia,88,NG,81,8.5,74.56,4.16
15,Caravelas,92,BR,100,-17.73,82.97,15.12
16,Bowen,90,AU,61,-20.01,84.0,18.34
17,Avera,90,US,88,33.19,62.6,5.82
18,Upata,56,VE,85,8.02,73.99,5.01
19,Lompoc,75,US,87,34.64,57.99,4.7
20,Panaba,0,MX,77,21.28,72.76,4.61
21,Puerto Ayora,8,EC,100,-0.74,80.45,6.17
22,Saint-Philippe,1,CA,72,45.36,17.6,3.15
23,Pisco,0,PE,78,-13.71,73.4,9.17
24,Hilo,75,US,60,19.71,69.8,6.93
25,Bluff,92,AU,38,-23.58,88.24,13.44
26,Port Hedland,80,AU,41,-20.31,96.8,13.87
27,Atuona,0,PF,100,-9.8,80.99,7.74
28,Kirovskiy,32,RU,32,45.09,41.48,4.38
29,Ushuaia,75,AR,93,-54.81,48.2,4.7
30,Eirunepe,36,BR,94,-6.66,72.89,2.15
31,Humboldt,32,CA,61,52.21,-8.47,9.31
32,San Cristobal,75,EC,87,-0.39,57.2,2.24
33,Qaanaaq,8,GL,70,77.48,-16.8,6.85
34,Lata,92,IN,78,30.78,45.58,1.14
35,Punta Arenas,40,CL,87,-53.16,48.2,6.4
36,Kavaratti,0,IN,100,10.57,82.25,5.61
37,Bambous Virieux,20,MU,74,-20.34,86.0,12.75
38,Concordia,0,AR,84,-31.4,64.99,1.99
39,Jamestown,0,AU,21,-33.21,96.61,6.17
40,Tuktoyaktuk,5,CA,64,69.44,-4.01,18.34
41,Nieuw Nickerie,92,SR,98,5.94,78.43,13.44
42,Ambunti,0,PG,52,-4.22,93.05,2.59
43,Hermanus,48,ZA,88,-34.42,66.99,1.01
44,Wewak,48,PG,79,-3.55,83.38,6.17
45,Bonnyville,20,CA,57,54.27,-13.01,5.82
46,Bilma,8,NE,23,18.69,58.99,9.31
47,Axim,36,GH,100,4.87,81.44,5.06
48,Hobart,0,AU,37,-42.88,99.0,20.8
49,Saskylakh,24,RU,25,71.97,-17.92,3.15
50,Tecoanapa,75,MX,74,16.99,80.6,9.17
51,Hambantota,20,LK,66,6.12,87.8,16.11
52,Port Elizabeth,90,US,100,39.31,39.0,9.17
53,Ixtapa,5,MX,88,20.71,73.0,2.15
54,Mar del Plata,24,AR,93,-46.43,54.53,2.26
55,Riverton,75,US,53,43.02,28.4,9.17
56,Barrow,88,AR,74,-38.31,61.91,21.05
57,Mataura,0,NZ,71,-46.19,62.01,7.0
58,Cherskiy,68,RU,67,68.75,-9.64,7.18
59,Peachland,75,CA,92,49.77,28.4,5.82
60,Muros,75,ES,93,42.77,54.0,5.82
61,Butaritari,80,KI,100,3.07,82.52,11.77
62,Portales,90,US,42,34.19,57.99,24.16
63,Castro,75,CL,87,-42.48,51.8,2.24
64,Kapaa,1,US,53,22.08,73.4,13.87
65,Aurillac,90,FR,93,44.93,43.0,1.92
66,East London,40,ZA,77,-33.02,69.8,4.7
67,Ribeira Grande,92,PT,91,38.52,62.41,23.51
68,Arraial do Cabo,92,BR,100,-22.97,72.35,4.61
69,Kodiak,40,US,45,39.95,32.0,12.75
70,Leh,56,IN,79,34.16,-0.91,1.7
71,Florianopolis,40,BR,88,-27.6,75.2,8.05
72,Nanortalik,56,GL,89,60.14,31.4,27.54
